method,scenario,delay,wins,ties,losses,win_rate_%
current_apg,flash_crowd,0,3,20,1,12.5
current_apg,flash_crowd,1,5,19,0,20.8
current_apg,flash_crowd,2,5,19,0,20.8
current_apg,normal,0,2,22,0,8.3
current_apg,normal,1,3,20,1,12.5
current_apg,normal,2,5,18,1,20.8
current_apg,ramp_up,0,1,23,0,4.2
current_apg,ramp_up,1,3,21,0,12.5
current_apg,ramp_up,2,3,21,0,12.5
current_apg,spike_2x,0,4,19,1,16.7
current_apg,spike_2x,1,4,19,1,16.7
current_apg,spike_2x,2,5,17,2,20.8
predictive,flash_crowd,0,3,20,1,12.5
predictive,flash_crowd,1,4,19,1,16.7
predictive,flash_crowd,2,5,19,0,20.8
predictive,normal,0,2,22,0,8.3
predictive,normal,1,3,20,1,12.5
predictive,normal,2,5,18,1,20.8
predictive,ramp_up,0,1,23,0,4.2
predictive,ramp_up,1,4,20,0,16.7
predictive,ramp_up,2,3,21,0,12.5
predictive,spike_2x,0,4,19,1,16.7
predictive,spike_2x,1,5,18,1,20.8
predictive,spike_2x,2,5,17,2,20.8
oracle,flash_crowd,0,4,19,1,16.7
oracle,flash_crowd,1,6,18,0,25.0
oracle,flash_crowd,2,6,17,1,25.0
oracle,normal,0,2,22,0,8.3
oracle,normal,1,4,19,1,16.7
oracle,normal,2,5,17,2,20.8
oracle,ramp_up,0,1,23,0,4.2
oracle,ramp_up,1,3,21,0,12.5
oracle,ramp_up,2,3,21,0,12.5
oracle,spike_2x,0,4,19,1,16.7
oracle,spike_2x,1,5,17,2,20.8
oracle,spike_2x,2,5,17,2,20.8
